model_name,model_size_parameters,inference_time_ms,tokens_per_second,memory_usage_mb,accuracy_score,benchmark_score,hallucination_rate,cost_per_1k_tokens
TinyLlama-1.1B,1.1B,88.5,90.5,2284,0.589,36.8,0.249,0.0017
TinyLlama-1.1B,1.1B,79.9,95.1,2509,0.548,33.2,0.251,0.002
TinyLlama-1.1B,1.1B,84.2,104.6,2110,0.592,37.1,0.231,0.0017
TinyLlama-1.1B,1.1B,108.1,83.2,2182,0.59,37.3,0.248,0.0028
TinyLlama-1.1B,1.1B,105.2,93.5,2547,0.59,37.2,0.246,0.0026
TinyLlama-1.1B,1.1B,91.6,88.8,2337,0.551,33.5,0.239,0.002
TinyLlama-1.1B,1.1B,95.8,91.2,2273,0.583,34.4,0.249,0.0024
TinyLlama-1.1B,1.1B,85.3,101.3,2409,0.596,38.0,0.233,0.0023
TinyLlama-1.1B,1.1B,113.2,86.1,2131,0.56,34.7,0.24,0.0032
TinyLlama-1.1B,1.1B,104.4,88.2,2422,0.587,37.7,0.233,0.0022
TinyLlama-1.1B,1.1B,90.6,94.3,2823,0.561,35.1,0.255,0.0022
TinyLlama-1.1B,1.1B,67.1,103.2,2607,0.582,37.0,0.224,0.0016
TinyLlama-1.1B,1.1B,113.9,87.9,2794,0.567,33.1,0.257,0.0027
SmolLM-1.7B,1.7B,104.8,81.2,3083,0.644,43.6,0.226,0.0024
SmolLM-1.7B,1.7B,105.5,81.9,3431,0.627,42.8,0.224,0.0023
SmolLM-1.7B,1.7B,125.7,76.1,3159,0.606,41.3,0.216,0.0036
SmolLM-1.7B,1.7B,137.5,71.2,2781,0.658,45.7,0.206,0.0034
SmolLM-1.7B,1.7B,98.2,90.9,2838,0.63,43.7,0.21,0.003
SmolLM-1.7B,1.7B,102.6,80.9,3319,0.612,42.3,0.234,0.0029
SmolLM-1.7B,1.7B,110.1,77.7,2915,0.627,43.0,0.214,0.0025
SmolLM-1.7B,1.7B,95.5,86.7,3459,0.626,45.6,0.204,0.0027
SmolLM-1.7B,1.7B,91.2,88.4,3192,0.638,43.7,0.224,0.0021
SmolLM-1.7B,1.7B,92.3,87.5,3109,0.643,44.9,0.224,0.002
SmolLM-1.7B,1.7B,104.5,83.6,2934,0.617,42.3,0.22,0.0024
SmolLM-1.7B,1.7B,110.2,84.0,3424,0.615,44.1,0.228,0.0032
SmolLM-1.7B,1.7B,143.8,73.2,2868,0.618,43.7,0.22,0.003
Phi-2-2.7B,2.7B,143.8,65.3,4412,0.689,53.3,0.202,0.0045
Phi-2-2.7B,2.7B,147.9,61.7,4022,0.711,55.8,0.186,0.0043
Phi-2-2.7B,2.7B,116.8,73.2,4467,0.698,51.8,0.182,0.003
Phi-2-2.7B,2.7B,149.1,61.6,3881,0.697,55.4,0.189,0.0041
Phi-2-2.7B,2.7B,137.2,66.4,4533,0.691,52.0,0.188,0.0036
Phi-2-2.7B,2.7B,145.2,61.1,4386,0.677,51.3,0.211,0.0045
Phi-2-2.7B,2.7B,109.6,71.0,4532,0.719,55.4,0.179,0.0028
Phi-2-2.7B,2.7B,163.2,60.7,4575,0.68,54.2,0.199,0.004
Phi-2-2.7B,2.7B,158.8,60.0,3877,0.682,51.5,0.193,0.0043
Phi-2-2.7B,2.7B,145.7,62.5,3996,0.707,53.4,0.201,0.0034
Phi-2-2.7B,2.7B,130.7,62.7,4402,0.689,54.2,0.195,0.0037
Phi-2-2.7B,2.7B,125.0,63.1,4491,0.708,55.5,0.193,0.0036
Phi-2-2.7B,2.7B,111.9,69.8,4504,0.716,55.0,0.194,0.0029
Qwen2.5-3B,3B,125.3,67.4,4807,0.712,55.8,0.175,0.0042
Qwen2.5-3B,3B,180.8,58.2,4805,0.704,53.9,0.189,0.0053
Qwen2.5-3B,3B,174.7,59.0,4313,0.706,57.7,0.191,0.0051
Qwen2.5-3B,3B,139.4,65.6,4344,0.711,57.7,0.166,0.0036
Qwen2.5-3B,3B,146.7,67.3,4323,0.712,56.9,0.192,0.0041
Qwen2.5-3B,3B,166.3,58.3,4243,0.718,58.5,0.171,0.0044
Qwen2.5-3B,3B,158.2,58.7,4509,0.71,55.7,0.181,0.0046
Qwen2.5-3B,3B,128.8,70.5,4676,0.725,57.4,0.173,0.0032
Qwen2.5-3B,3B,154.8,57.7,4778,0.711,57.3,0.177,0.0041
Qwen2.5-3B,3B,138.6,60.2,4436,0.732,58.4,0.186,0.0041
Qwen2.5-3B,3B,138.1,60.9,4330,0.712,55.9,0.187,0.0039
Qwen2.5-3B,3B,139.1,62.0,4821,0.709,57.7,0.169,0.0039
Qwen2.5-3B,3B,153.0,61.4,4701,0.707,57.1,0.175,0.0036
Phi-3-mini-3.8B,3.8B,149.5,62.1,4998,0.752,61.7,0.159,0.0047
Phi-3-mini-3.8B,3.8B,160.9,56.9,4944,0.768,63.4,0.154,0.0046
Phi-3-mini-3.8B,3.8B,155.6,60.8,4980,0.754,60.9,0.167,0.005
Phi-3-mini-3.8B,3.8B,188.6,54.1,5700,0.767,64.1,0.168,0.0053
Phi-3-mini-3.8B,3.8B,189.7,54.1,5535,0.741,62.0,0.164,0.0054
Phi-3-mini-3.8B,3.8B,184.9,53.1,5160,0.729,60.0,0.17,0.005
Phi-3-mini-3.8B,3.8B,161.6,53.4,5495,0.741,63.2,0.162,0.0048
Phi-3-mini-3.8B,3.8B,154.9,56.4,5664,0.76,62.6,0.174,0.0049
Phi-3-mini-3.8B,3.8B,148.1,56.4,5543,0.778,63.9,0.159,0.0047
Phi-3-mini-3.8B,3.8B,172.2,53.2,5116,0.731,61.8,0.164,0.0051
Phi-3-mini-3.8B,3.8B,153.2,56.8,5042,0.737,62.8,0.162,0.0046
Phi-3-mini-3.8B,3.8B,138.8,60.6,5309,0.731,59.9,0.163,0.004
Phi-3-mini-3.8B,3.8B,181.4,54.0,5606,0.727,60.9,0.161,0.0052
Gemma-2B,2B,145.7,65.4,3675,0.674,49.3,0.218,0.0033
Gemma-2B,2B,92.7,79.4,3586,0.652,48.8,0.205,0.0029
Gemma-2B,2B,110.0,80.7,3142,0.687,50.1,0.189,0.0024
Gemma-2B,2B,118.8,79.0,3367,0.652,49.6,0.205,0.0033
Gemma-2B,2B,110.4,83.0,3530,0.665,46.6,0.214,0.0028
Gemma-2B,2B,117.8,73.5,3323,0.683,50.2,0.19,0.0036
Gemma-2B,2B,138.2,71.2,3398,0.685,49.7,0.197,0.0039
Gemma-2B,2B,125.7,71.1,3635,0.665,47.3,0.217,0.0028
Gemma-2B,2B,137.5,65.9,3538,0.639,47.9,0.218,0.0031
Gemma-2B,2B,116.4,76.7,3754,0.659,49.5,0.188,0.0036
Gemma-2B,2B,108.4,80.6,3657,0.672,49.5,0.199,0.0033
Gemma-2B,2B,97.9,82.0,3295,0.662,48.9,0.202,0.0026
Gemma-2B,2B,132.7,69.4,3267,0.638,47.3,0.203,0.0029
Gemma-7B,7B,243.2,39.3,8473,0.838,74.2,0.145,0.0078
Gemma-7B,7B,205.8,42.0,8482,0.802,72.7,0.137,0.0067
Gemma-7B,7B,278.1,38.7,8401,0.842,76.1,0.141,0.0085
Gemma-7B,7B,230.1,40.0,8341,0.844,76.5,0.134,0.0073
Gemma-7B,7B,198.6,43.5,8419,0.825,74.6,0.141,0.0064
Gemma-7B,7B,260.4,41.1,8481,0.829,74.4,0.133,0.0085
Gemma-7B,7B,274.1,38.1,8788,0.854,75.5,0.127,0.008
Gemma-7B,7B,241.1,38.1,8360,0.812,71.8,0.144,0.0074
Gemma-7B,7B,214.5,46.3,8663,0.852,75.2,0.135,0.0073
Gemma-7B,7B,258.3,39.7,8736,0.85,75.0,0.14,0.0075
Gemma-7B,7B,199.8,47.5,8755,0.81,73.2,0.138,0.0071
Gemma-7B,7B,274.1,37.7,8364,0.813,72.0,0.139,0.008
Gemma-7B,7B,207.5,49.2,8760,0.863,76.5,0.128,0.0067
Mistral-7B,7B,196.5,48.2,8821,0.846,78.4,0.12,0.007
Mistral-7B,7B,222.6,41.8,8567,0.862,77.1,0.121,0.0075
Mistral-7B,7B,223.1,47.4,8740,0.835,76.1,0.122,0.0079
Mistral-7B,7B,224.1,47.2,8826,0.842,76.5,0.119,0.0072
Mistral-7B,7B,258.3,41.9,8463,0.86,76.5,0.127,0.0083
Mistral-7B,7B,208.6,48.1,8491,0.834,74.6,0.13,0.0065
Mistral-7B,7B,285.9,38.0,8394,0.854,77.9,0.132,0.0086
Mistral-7B,7B,219.3,48.8,8495,0.841,76.5,0.135,0.0073
Mistral-7B,7B,274.6,37.8,8932,0.856,75.9,0.132,0.0087
Mistral-7B,7B,208.4,45.9,9099,0.83,76.2,0.127,0.0068
Mistral-7B,7B,238.0,41.9,8557,0.84,74.7,0.134,0.0073
Mistral-7B,7B,247.2,41.6,8864,0.85,77.8,0.129,0.0082
Mistral-7B,7B,275.6,35.5,8702,0.86,76.7,0.139,0.0083
Llama-3-8B,8B,255.6,39.9,9678,0.857,80.3,0.116,0.009
Llama-3-8B,8B,242.6,41.3,10031,0.889,81.3,0.109,0.0079
Llama-3-8B,8B,281.0,39.0,9379,0.855,77.3,0.136,0.0095
Llama-3-8B,8B,276.5,33.8,9857,0.875,81.4,0.12,0.0093
Llama-3-8B,8B,216.5,42.1,9650,0.854,77.7,0.121,0.008
Llama-3-8B,8B,212.7,44.9,9846,0.871,78.2,0.111,0.0075
